review_id,category,domain,level,language,target_topic,question,technical_validity,role_relevance,cv_alignment,difficulty_alignment,clarity,rag_grounding,false_premise,reviewer_id,notes
REVIEW-CE9F77F5C0,software-development,Full_Stack_Developer,Middle,vi,JavaScript,"Trong dự án bạn đã làm với vai trò Full Stack Developer, bạn đã sử dụng JavaScript để tương tác với Database như thế nào và những thách thức nào bạn đã gặp phải khi xử lý dữ liệu giữa frontend và backend?",,,,,,,,,
REVIEW-57157EA8E2,data-ai,AI_Engineer,Middle,vi,Image Classification,"Trong dự án Image Classification mà bạn đã thực hiện, bạn đã đưa ra những quyết định nào liên quan đến việc xử lý độ phân giải (Resolution) của ảnh đầu vào và tại sao?",,,,,,,,,
REVIEW-79BACE4C28,devops-cloud-security,Backend_Developer,Middle,en,Problem Solving,"Can you describe a specific instance where you encountered a complex problem related to 'Networks' or 'Certificates' in your role as a Backend Developer, and how you approached solving it?",,,,,,,,,
REVIEW-BC8B557BAE,product-qa,Business_Analyst,Middle,vi,Mobile Application,"Trong dự án Mobile Application bạn đã làm, bạn đã gặp phải những thách thức nào liên quan đến việc đảm bảo trải nghiệm người dùng nhất quán trên các thiết bị và hệ điều hành khác nhau, và bạn đã giải quyết chúng như thế nào?",,,,,,,,,
REVIEW-25C1990754,software-development,DevOps_Engineer,Middle,en,Communication,Can you describe a situation where effective communication was critical in resolving a technical issue or incident in your role as a DevOps Engineer?,,,,,,,,,
REVIEW-C8ABAC73EB,data-ai,Backend_Developer,Middle,en,Problem Solving,"Can you describe a specific instance where you encountered a complex problem related to database transactions or network communication in your role as a Backend Developer, and how you approached solving it?",,,,,,,,,
REVIEW-7FFFEE36B0,devops-cloud-security,DevOps_Engineer,Middle,vi,Communication,"Trong vai trò DevOps Engineer, bạn đã từng gặp phải tình huống nào mà việc giao tiếp kém hiệu quả dẫn đến sự cố hoặc chậm trễ trong dự án chưa? Bạn đã xử lý tình huống đó như thế nào?",,,,,,,,,
REVIEW-4EF25CA4E6,product-qa,Data_Engineer,Middle,en,Data Warehouse,"Can you describe a specific instance where you had to make a critical design decision regarding the architecture of a Data Warehouse, and what factors influenced your choice?",,,,,,,,,
REVIEW-2F1057DCA4,software-development,Backend_Developer,Middle,en,Microservices Architecture,"Can you describe a specific instance where you had to make a significant architectural decision regarding Microservices, and what factors influenced your choice?",,,,,,,,,
REVIEW-6549DA3F50,data-ai,Backend_Developer,Middle,en,Design Patterns,Can you describe a specific instance where you applied the Repository design pattern in a backend project? What were the main benefits you observed from its implementation?,,,,,,,,,
REVIEW-1C58D45E47,devops-cloud-security,DevOps_Engineer,Middle,vi,Vulnerability Management,"Trong vai trò DevOps Engineer, bạn đã từng triển khai các giải pháp Vulnerability Management như thế nào để phát hiện và xử lý các lỗ hổng bảo mật trong quá trình Deployment?",,,,,,,,,
REVIEW-9B801F6D85,product-qa,Business_Analyst,Middle,en,Requirement Clarification,Can you describe a specific instance where you had to clarify ambiguous or conflicting requirements for a mobile application project? What steps did you take to resolve the ambiguity and ensure a shared understanding among stakeholders?,,,,,,,,,
REVIEW-27266BAB4D,software-development,Data_Engineer,Middle,en,Data Lake,"Given your experience with Data Lakes, how have you approached ensuring data quality and governance to prevent them from becoming 'data swamps'?",,,,,,,,,
REVIEW-183030FE39,data-ai,AI_Engineer,Middle,en,Image Classification,"Can you describe a specific instance where you used Image Classification in a project, and what were the key challenges you faced in achieving accurate classification?",,,,,,,,,
REVIEW-CA64E2A5CE,devops-cloud-security,Backend_Developer,Middle,en,Digital Signature,Can you describe a specific instance where you implemented Digital Signatures in a project? What were the key considerations for algorithm selection and key management in that scenario?,,,,,,,,,
REVIEW-00C73E6253,product-qa,Software_Engineer,Middle,vi,Instrumentation,"Dựa trên kinh nghiệm của bạn với Instrumentation, bạn có thể mô tả một tình huống cụ thể mà bạn đã triển khai Instrumentation để giám sát hiệu suất hoặc hành vi của một hệ thống không? Bạn đã quyết định đo lường những chỉ số nào và tại sao?",,,,,,,,,
REVIEW-15209150C7,software-development,DevOps_Engineer,Middle,vi,Network,"Trong vai trò DevOps Engineer, bạn đã từng gặp phải những vấn đề nào liên quan đến Network và cách bạn đã giải quyết chúng để đảm bảo hiệu suất và độ tin cậy của hệ thống?",,,,,,,,,
REVIEW-CF26D209E8,data-ai,AI_Engineer,Middle,vi,Feature Extraction,"Trong một dự án trước đây, bạn đã sử dụng Feature Extraction. Bạn có thể mô tả một trường hợp cụ thể khi bạn phải đối mặt với sự đánh đổi giữa việc giảm mất mát thông tin và đạt được tính nhỏ gọn của các đặc trưng được trích xuất không?",,,,,,,,,
REVIEW-B9B2508460,devops-cloud-security,Backend_Developer,Middle,vi,Microservices Architecture,"Trong dự án của bạn, bạn đã sử dụng Microservices Architecture. Bạn có thể chia sẻ về một quyết định thiết kế quan trọng mà bạn đã đưa ra liên quan đến việc chia nhỏ các service và lý do đằng sau quyết định đó không?",,,,,,,,,
REVIEW-18E1CAD5BD,product-qa,Software_Engineer,Middle,vi,Continuous Improvement,"Trong vai trò Software Engineer, bạn đã áp dụng Continuous Improvement để cải thiện quy trình hoặc sản phẩm như thế nào? Hãy chia sẻ một ví dụ cụ thể về việc bạn đã sử dụng các chỉ số (metrics) hoặc phản hồi (feedback) để thúc đẩy những thay đổi nhỏ, có thể đo lường được.",,,,,,,,,
REVIEW-99DB3BB10D,software-development,Backend_Developer,Middle,vi,Memory Management,"Trong vai trò Backend Developer, bạn đã từng gặp phải vấn đề rò rỉ bộ nhớ (memory leak) trong các dự án của mình chưa? Nếu có, bạn đã xác định và giải quyết chúng như thế nào?",,,,,,,,,
REVIEW-60474239D4,data-ai,DevOps_Engineer,Middle,en,Automation,"Can you describe a specific instance where you implemented automation to improve an operational process? What were the key challenges you faced during implementation, and how did you address them?",,,,,,,,,
REVIEW-7B7263BBE6,devops-cloud-security,Backend_Developer,Middle,en,Reverse Proxy,"Can you describe a specific instance where you implemented a Reverse Proxy in a project? What was the primary problem you were trying to solve, and what were the key considerations in its design and configuration?",,,,,,,,,
REVIEW-CAF49C08F0,product-qa,Backend_Developer,Middle,vi,Stress Testing,"Trong kinh nghiệm của bạn với Stress Testing, bạn đã từng gặp phải tình huống nào mà hệ thống không chỉ chậm lại mà còn gặp phải các lỗi nghiêm trọng hoặc sập hoàn toàn? Bạn đã xử lý tình huống đó như thế nào?",,,,,,,,,
REVIEW-66849CF2D3,software-development,Full_Stack_Developer,Middle,vi,Responsive Design,"Trong dự án của bạn, bạn đã triển khai Responsive Design như thế nào để đảm bảo trải nghiệm người dùng tối ưu trên các thiết bị khác nhau?",,,,,,,,,
REVIEW-43841B244A,data-ai,AI_Engineer,Middle,vi,Question Answering,"Trong dự án liên quan đến Question Answering, bạn đã gặp phải những thách thức nào khi xử lý các câu hỏi không có câu trả lời (unanswerable questions) và bạn đã giải quyết chúng như thế nào?",,,,,,,,,
REVIEW-49FE32A3FD,devops-cloud-security,DevOps_Engineer,Middle,en,Network,"As a DevOps Engineer, you've worked with 'Network'. Can you describe a scenario where you had to troubleshoot a network performance issue, and what steps you took to identify and resolve the bottleneck?",,,,,,,,,
