review_id,category,domain,level,language,target_topic,question,technical_validity,role_relevance,cv_alignment,difficulty_alignment,clarity,rag_grounding,false_premise,reviewer_id,notes
REVIEW-6576CEFB91,architecture-management,Backend_Developer,Middle,en,Microsoft Azure,"Can you describe a specific decision you made when designing and building a Web API on Microsoft Azure, and explain the trade-offs you considered?",,,,,,,,,
REVIEW-3653874AF3,data-ai,Software_Engineer,Middle,en,Continuous Learning,Can you describe a specific instance where you applied continuous learning to improve a data integration or interface design process in your software engineering role?,,,,,,,,,
REVIEW-4D12F2D0B2,devops-cloud-security,DevOps_Engineer,Middle,en,Storage Monitoring,Can you describe a specific challenge you faced while implementing storage monitoring in your DevOps role and how you addressed it?,,,,,,,,,
REVIEW-4378C48E3B,product-qa,Full_Stack_Developer,Middle,en,Technical Documentation,Can you describe a specific instance where you had to create or maintain technical documentation for an API you developed or tested? What key decisions did you make to ensure clarity and usability for other developers?,,,,,,,,,
REVIEW-0AED549116,software-development,Backend_Developer,Middle,en,Knowledge Sharing,Can you describe a specific instance where you implemented knowledge sharing within your backend development team? What methods did you choose and why?,,,,,,,,,
REVIEW-855972967A,architecture-management,Software_Engineer,Middle,vi,Clean Code,"Trong quá trình phát triển phần mềm, bạn đã áp dụng những nguyên tắc Clean Code nào để đảm bảo codebase dễ bảo trì và mở rộng? Hãy chia sẻ một quyết định kỹ thuật cụ thể bạn đã thực hiện liên quan đến việc đặt tên biến, cấu trúc hàm hoặc xử lý lỗi.",,,,,,,,,
REVIEW-46CE540F4A,data-ai,Software_Engineer,Middle,vi,Implementation,Bạn có thể mô tả một quyết định kỹ thuật quan trọng bạn đã thực hiện khi triển khai một thư viện trong dự án của mình không? Làm thế nào bạn cân bằng giữa việc giữ sự ổn định của API công khai và tránh các phụ thuộc chuyển tiếp không cần thiết?,,,,,,,,,
REVIEW-5D1ACA663B,devops-cloud-security,Backend_Developer,Middle,en,Digital Signature,Can you describe a specific challenge you faced when implementing digital signatures in your backend projects and how you addressed it?,,,,,,,,,
REVIEW-68A9BD5719,product-qa,DevOps_Engineer,Middle,en,Implementation,Can you describe a specific implementation challenge you faced as a DevOps Engineer and explain the technical decisions you made to address it?,,,,,,,,,
REVIEW-78C1B98608,software-development,Backend_Developer,Middle,en,Unit Test,Can you describe a specific instance where you implemented unit tests for MongoDB interactions in your backend development? What challenges did you face and how did you address them?,,,,,,,,,
REVIEW-273A0CD382,architecture-management,Backend_Developer,Middle,en,Microservices Architecture,"Can you describe a specific decision you made when designing microservices using Hexagonal Architecture, and how it impacted the service's maintainability and scalability?",,,,,,,,,
REVIEW-EF1DF06956,data-ai,AI_Engineer,Middle,en,Image Classification,"Can you describe a specific image classification project you worked on and explain the key technical decisions you made regarding model selection, data augmentation, and handling class imbalance?",,,,,,,,,
REVIEW-D5D1A7A172,devops-cloud-security,DevOps_Engineer,Middle,vi,Infrastructure as Code (IaC),Bạn có thể mô tả một quyết định kỹ thuật quan trọng khi triển khai Infrastructure as Code (IaC) để đảm bảo tính High Availability trong dự án của bạn không?,,,,,,,,,
REVIEW-58EDE406C4,product-qa,Business_Analyst,Middle,en,Critical Thinking,Can you describe a situation in your role as a Business Analyst where you applied critical thinking to challenge assumptions or evaluate evidence?,,,,,,,,,
REVIEW-6135616409,software-development,Backend_Developer,Middle,vi,Auto Scaling,Bạn có thể mô tả cách bạn thiết kế và triển khai cơ chế Auto Scaling trong môi trường Kubernetes cho dự án backend của mình không?,,,,,,,,,
REVIEW-59E9C18C27,architecture-management,DevOps_Engineer,Middle,vi,SQL Server,Bạn có thể mô tả một quyết định kỹ thuật quan trọng bạn đã thực hiện khi thiết kế hoặc tối ưu hóa hệ thống SQL Server trong vai trò DevOps Engineer không?,,,,,,,,,
REVIEW-1DD6C89992,data-ai,AI_Engineer,Middle,vi,Question Answering,"Trong dự án Question Answering mà bạn tham gia, bạn đã áp dụng những quyết định kỹ thuật nào để cân bằng giữa độ chính xác của mô hình và hiệu suất truy xuất thông tin?",,,,,,,,,
REVIEW-A529FC4C68,devops-cloud-security,Backend_Developer,Middle,en,Reverse Proxy,"Can you describe a specific scenario where you implemented a reverse proxy in your backend development work? What were the key technical decisions you made regarding routing, TLS termination, or security?",,,,,,,,,
REVIEW-238A07E640,product-qa,Backend_Developer,Middle,vi,API Testing,Bạn có thể mô tả cách bạn sử dụng Postman để thiết kế và kiểm thử API trong dự án của mình không? Bạn đã áp dụng chiến lược nào để đảm bảo các kịch bản kiểm thử API được bao phủ đầy đủ và hiệu quả?,,,,,,,,,
REVIEW-0814AB86BA,software-development,DevOps_Engineer,Middle,vi,Communication,Bạn có thể mô tả cách bạn giao tiếp hiệu quả với các nhóm backend và service trong quá trình triển khai HTTPS và quản lý MySQL không?,,,,,,,,,
REVIEW-2526E5C04F,data-ai,Backend_Developer,Middle,vi,Circuit Breaker,"Bạn có thể mô tả cách bạn đã thiết kế và triển khai Circuit Breaker trong một dự án backend cụ thể, và những quyết định kỹ thuật nào bạn đã đưa ra để cân bằng giữa độ nhạy và tránh false trips?",,,,,,,,,
REVIEW-EF3B62378B,devops-cloud-security,Backend_Developer,Middle,vi,Distributed Systems,Bạn có thể mô tả cách bạn thiết kế hệ thống backend để đảm bảo tính High Availability trong môi trường Distributed Systems không? Những trade-offs chính bạn đã cân nhắc là gì?,,,,,,,,,
REVIEW-9F627A212E,product-qa,AI_Engineer,Middle,en,Requirements,Can you describe a specific experience where you had to define and manage requirements for an AI project? What trade-offs did you consider when setting these requirements?,,,,,,,,,
REVIEW-A3466AE006,software-development,AI_Engineer,Middle,en,Requirements,Can you describe a specific experience where you had to manage requirements to ensure reliability in a networked AI system? What trade-offs did you consider in your decision-making?,,,,,,,,,
REVIEW-FB4532E970,data-ai,Business_Analyst,Middle,en,Data-driven Decision Making,Can you describe a specific instance where you used data-driven decision making to solve a business problem in your role as a Business Analyst?,,,,,,,,,
REVIEW-6FC812A5BE,devops-cloud-security,Backend_Developer,Middle,en,Problem Solving,"Can you describe a challenging problem you solved involving directory or network services in your backend development work, and explain the key trade-offs you considered in your solution?",,,,,,,,,
REVIEW-A16E69D667,product-qa,Business_Analyst,Middle,vi,Business Requirement,Bạn có thể mô tả cách bạn phối hợp với Development Team trong việc xác định và quản lý Business Requirement cho một Web Application theo phương pháp Agile và Scrum không?,,,,,,,,,
REVIEW-A655B223FE,software-development,Backend_Developer,Middle,en,Microservices Architecture,"Can you describe a specific technical decision you made when designing the microservices architecture in your recent backend development project, particularly how you handled service boundaries and data ownership?",,,,,,,,,
REVIEW-03608A803C,data-ai,DevOps_Engineer,Middle,en,Notification,"Can you describe a specific notification system you designed or managed in your DevOps role, focusing on how you balanced timely alerts with avoiding alert fatigue?",,,,,,,,,
REVIEW-FF612606C5,devops-cloud-security,DevOps_Engineer,Middle,vi,Vulnerability Scanning,Bạn có thể mô tả một tình huống cụ thể khi bạn thực hiện Vulnerability Scanning trong vai trò DevOps Engineer và cách bạn quyết định ưu tiên xử lý các lỗ hổng bảo mật không?,,,,,,,,,
REVIEW-1224988D41,product-qa,Business_Analyst,Middle,vi,Elicitation and Collaboration,"Trong vai trò Business Analyst, bạn đã áp dụng phương pháp nào để thu thập và phối hợp thông tin hiệu quả từ các bên liên quan nhằm quản lý và ưu tiên Product Backlog?",,,,,,,,,
REVIEW-80E73826B3,software-development,Backend_Developer,Middle,vi,Microservices Architecture,Bạn có thể mô tả một quyết định kỹ thuật quan trọng bạn đã thực hiện khi thiết kế kiến trúc Microservices cho dự án của mình không? Bạn đã giải quyết các thách thức liên quan đến Message Broker như thế nào trong quá trình đó?,,,,,,,,,
REVIEW-550BAA46A9,data-ai,DevOps_Engineer,Middle,en,Automation,"Can you describe a specific automation project where you integrated PostgreSQL operations, and explain the key technical decisions you made to ensure reliability and efficiency?",,,,,,,,,
REVIEW-9C7037A358,devops-cloud-security,DevOps_Engineer,Middle,en,Secret Management,"Can you describe a specific instance where you implemented secret management in your DevOps role, and explain the key trade-offs you considered in choosing your approach?",,,,,,,,,
REVIEW-6A7453BF6F,product-qa,AI_Engineer,Middle,en,Resource Management,Can you describe a specific resource management challenge you faced during training in your AI Engineer role and how you addressed it?,,,,,,,,,
REVIEW-DE38D072E2,software-development,Backend_Developer,Middle,en,SQL Injection,Can you describe a specific instance where you implemented protections against SQL Injection in a backend service? What technical decisions did you make to prevent this vulnerability?,,,,,,,,,
REVIEW-AB89421A5F,data-ai,Business_Analyst,Middle,en,Problem Solving,Can you describe a specific problem you encountered as a Business Analyst related to change requests and explain how you approached solving it?,,,,,,,,,
REVIEW-ADD6A23D59,devops-cloud-security,DevOps_Engineer,Middle,vi,Vulnerability Management,Bạn có thể mô tả quy trình bạn đã thực hiện để quản lý và khắc phục các lỗ hổng bảo mật trong dự án DevOps gần đây không? Bạn đã cân nhắc những yếu tố kỹ thuật và giao tiếp nào trong quá trình này?,,,,,,,,,
REVIEW-BED01BF986,product-qa,Backend_Developer,Middle,en,Implementation,Can you describe a specific implementation decision you made in a backend service that involved managing constraints and consumer interactions?,,,,,,,,,
REVIEW-3F0FD2D1EC,software-development,Full_Stack_Developer,Middle,vi,Backend Development,Bạn có thể mô tả một quyết định kỹ thuật quan trọng bạn đã thực hiện khi thiết kế backend cho dự án sử dụng MongoDB và JavaScript không? Bạn đã cân nhắc những trade-offs nào trong việc lựa chọn kiến trúc hệ thống?,,,,,,,,,
REVIEW-D743042FFC,data-ai,AI_Engineer,Middle,en,Data Collection,Can you describe a specific challenge you faced in data collection for a classification project and how you optimized the process to improve data quality or efficiency?,,,,,,,,,
REVIEW-0EA353F0ED,devops-cloud-security,DevOps_Engineer,Middle,vi,Vulnerability Management,Bạn có thể mô tả cách bạn ưu tiên và xử lý các lỗ hổng bảo mật trong quá trình Vulnerability Management không? Bạn đã áp dụng chiến lược nào để cân bằng giữa mức độ rủi ro và nguồn lực khắc phục?,,,,,,,,,
REVIEW-1D03350200,product-qa,AI_Engineer,Middle,en,Conflict Resolution,"Can you describe a specific conflict resolution scenario you encountered during a deployment or transaction process, and explain the technical decisions you made to resolve it?",,,,,,,,,
REVIEW-79F5873B86,software-development,DevOps_Engineer,Middle,vi,Compute Engine,Bạn có thể mô tả một quyết định kỹ thuật quan trọng bạn đã thực hiện khi triển khai Compute Engine trong dự án của mình không? Bạn đã cân nhắc những yếu tố nào để đảm bảo hiệu suất và chi phí hợp lý?,,,,,,,,,
REVIEW-1479CE7031,data-ai,Backend_Developer,Middle,en,Design Patterns,Can you describe a specific design pattern you implemented in your backend development work and explain why you chose it over other patterns?,,,,,,,,,
REVIEW-96F23041E5,devops-cloud-security,DevOps_Engineer,Middle,en,Infrastructure as Code (IaC),Can you describe a specific Infrastructure as Code (IaC) implementation you worked on and explain how you managed state and drift in that environment?,,,,,,,,,
REVIEW-9F5CF910AE,product-qa,DevOps_Engineer,Middle,en,SQL Server,Can you describe a specific instance where you implemented automation for SQL Server maintenance tasks? What were the key technical decisions you made to ensure reliability and efficiency?,,,,,,,,,
REVIEW-040FC7BEC9,software-development,Software_Engineer,Middle,vi,Distributed Computing,Bạn có thể mô tả một quyết định kỹ thuật quan trọng bạn đã thực hiện khi thiết kế kiến trúc phần mềm cho hệ thống phân tán không? Những trade-offs nào bạn đã cân nhắc để tối ưu hiệu năng và độ tin cậy?,,,,,,,,,
REVIEW-53C11C54D8,data-ai,Business_Analyst,Middle,vi,Business Value,"Trong vai trò Business Analyst kiêm Product Owner, bạn đã từng đưa ra quyết định nào để tối ưu giá trị kinh doanh trong dự án thương mại điện tử? Bạn có thể chia sẻ cách bạn cân nhắc giữa lợi ích kinh doanh và chi phí phát triển không?",,,,,,,,,
REVIEW-58CF0A09DE,devops-cloud-security,DevOps_Engineer,Middle,vi,Implementation,Bạn có thể mô tả một quyết định kỹ thuật quan trọng bạn đã thực hiện trong quá trình triển khai tự động hóa (Automation) trong vai trò DevOps Engineer?,,,,,,,,,
